timestamp,temperature_c,humidity_pct,light_detected,sound_avg,sound_peak
2026-02-09 23:00:00,20.2,57.5,1,205,252
2026-02-09 23:01:00,20.5,56.2,1,133,156
2026-02-09 23:02:00,20.2,57.5,1,133,169
2026-02-09 23:03:00,20.5,57.2,0,134,180
2026-02-09 23:04:00,20.3,56.6,1,133,154
2026-02-09 23:05:00,20.4,55.2,1,143,187
2026-02-09 23:06:00,20.5,57.3,1,131,178
2026-02-09 23:07:00,20.1,55.1,1,191,235
2026-02-09 23:08:00,20.5,58.4,1,132,170
2026-02-09 23:09:00,20.3,56.4,1,136,185
2026-02-09 23:10:00,20.2,57.0,1,136,165
2026-02-09 23:11:00,20.7,57.2,0,135,163
2026-02-09 23:12:00,20.2,58.2,1,142,160
2026-02-09 23:13:00,20.4,57.3,1,142,162
2026-02-09 23:14:00,20.6,56.7,1,128,153
2026-02-09 23:15:00,20.3,56.9,1,139,192
2026-02-09 23:16:00,20.4,54.6,1,168,218
2026-02-09 23:17:00,20.9,56.3,1,134,178
2026-02-09 23:18:00,20.5,55.8,1,131,155
2026-02-09 23:19:00,20.4,59.7,1,142,159
2026-02-09 23:20:00,20.2,59.5,1,134,180
2026-02-09 23:21:00,20.5,59.2,1,152,190
2026-02-09 23:22:00,20.1,55.2,1,140,157
2026-02-09 23:23:00,20.6,57.5,1,168,202
2026-02-09 23:24:00,20.6,59.2,1,144,192
2026-02-09 23:25:00,20.2,58.5,1,148,201
2026-02-09 23:26:00,20.5,56.9,1,135,177
2026-02-09 23:27:00,20.9,55.6,0,140,150
2026-02-09 23:28:00,20.3,58.4,1,132,156
2026-02-09 23:29:00,20.1,57.6,1,129,166
2026-02-09 23:30:00,20.6,57.3,1,128,174
2026-02-09 23:31:00,20.2,58.0,1,160,210
2026-02-09 23:32:00,20.1,55.0,1,151,187
2026-02-09 23:33:00,20.0,56.6,1,143,181
2026-02-09 23:34:00,20.8,60.1,0,124,146
2026-02-09 23:35:00,20.4,56.1,1,136,164
2026-02-09 23:36:00,20.3,56.8,1,129,172
2026-02-09 23:37:00,20.5,60.5,1,143,153
2026-02-09 23:38:00,20.3,60.1,1,135,172
2026-02-09 23:39:00,20.1,56.7,1,137,176
2026-02-09 23:40:00,20.3,57.4,1,146,180
2026-02-09 23:41:00,20.1,57.1,1,164,174
2026-02-09 23:42:00,20.4,56.4,1,133,171
2026-02-09 23:43:00,20.3,57.9,1,140,186
2026-02-09 23:44:00,20.3,57.6,1,146,160
2026-02-09 23:45:00,20.3,57.4,1,142,152
2026-02-09 23:46:00,20.4,57.2,1,126,166
2026-02-09 23:47:00,20.3,58.6,1,183,212
2026-02-09 23:48:00,20.3,58.6,1,132,173
2026-02-09 23:49:00,20.4,56.7,1,138,184
2026-02-09 23:50:00,20.2,59.5,1,142,174
2026-02-09 23:51:00,20.3,57.4,1,135,178
2026-02-09 23:52:00,20.4,57.6,1,180,233
2026-02-09 23:53:00,20.3,60.9,1,139,189
2026-02-09 23:54:00,20.8,56.3,1,202,256
2026-02-09 23:55:00,20.0,58.0,1,148,198
2026-02-09 23:56:00,20.5,59.7,1,144,160
2026-02-09 23:57:00,20.3,54.9,1,145,173
2026-02-09 23:58:00,20.3,57.4,0,137,189
2026-02-09 23:59:00,20.4,56.8,0,140,160
2026-02-10 00:00:00,20.6,59.8,0,78,122
2026-02-10 00:01:00,20.2,59.3,0,76,125
2026-02-10 00:02:00,20.1,57.1,0,79,98
2026-02-10 00:03:00,20.6,59.1,0,65,115
2026-02-10 00:04:00,20.4,54.3,0,85,137
2026-02-10 00:05:00,20.1,55.0,0,75,107
2026-02-10 00:06:00,20.6,55.4,0,78,103
2026-02-10 00:07:00,20.2,57.5,0,81,99
2026-02-10 00:08:00,20.2,56.7,0,75,101
2026-02-10 00:09:00,20.1,60.5,0,76,114
2026-02-10 00:10:00,20.5,56.7,0,72,103
2026-02-10 00:11:00,20.2,55.3,0,84,95
2026-02-10 00:12:00,20.5,56.1,0,94,124
2026-02-10 00:13:00,20.6,55.2,0,77,87
2026-02-10 00:14:00,20.1,56.6,0,86,118
2026-02-10 00:15:00,20.5,57.8,0,70,99
2026-02-10 00:16:00,20.3,56.6,0,81,135
2026-02-10 00:17:00,20.7,55.6,0,79,100
2026-02-10 00:18:00,20.3,57.0,0,76,130
2026-02-10 00:19:00,20.2,57.3,0,70,116
2026-02-10 00:20:00,20.2,56.9,0,76,98
2026-02-10 00:21:00,20.5,56.7,0,79,111
2026-02-10 00:22:00,20.2,57.2,0,79,110
2026-02-10 00:23:00,20.0,56.7,0,76,88
2026-02-10 00:24:00,20.2,58.9,0,79,107
2026-02-10 00:25:00,20.6,58.6,0,74,89
2026-02-10 00:26:00,20.4,57.9,0,76,123
2026-02-10 00:27:00,20.3,58.2,0,73,90
2026-02-10 00:28:00,20.4,59.3,0,81,127
2026-02-10 00:29:00,20.3,54.7,0,70,113
2026-02-10 00:30:00,20.0,57.8,0,81,119
2026-02-10 00:31:00,19.9,55.6,0,82,119
2026-02-10 00:32:00,20.5,57.9,0,73,116
2026-02-10 00:33:00,20.2,57.9,0,73,98
2026-02-10 00:34:00,20.6,57.1,0,80,118
2026-02-10 00:35:00,20.1,58.4,0,87,105
2026-02-10 00:36:00,20.4,59.1,0,80,116
2026-02-10 00:37:00,20.3,61.5,1,76,127
2026-02-10 00:38:00,20.7,58.7,0,71,108
2026-02-10 00:39:00,20.4,60.2,0,73,103
2026-02-10 00:40:00,20.8,58.6,0,75,85
2026-02-10 00:41:00,20.2,56.3,0,66,91
2026-02-10 00:42:00,20.6,56.6,0,74,91
2026-02-10 00:43:00,20.0,53.8,0,75,111
2026-02-10 00:44:00,20.1,58.7,0,74,128
2026-02-10 00:45:00,20.1,61.7,0,76,95
2026-02-10 00:46:00,20.3,58.1,0,75,87
2026-02-10 00:47:00,20.2,57.5,0,85,113
2026-02-10 00:48:00,20.1,58.2,0,67,95
2026-02-10 00:49:00,20.2,59.3,0,83,103
2026-02-10 00:50:00,20.3,57.7,0,68,88
2026-02-10 00:51:00,20.5,59.0,0,78,118
2026-02-10 00:52:00,20.2,56.5,0,78,128
2026-02-10 00:53:00,20.1,57.2,0,82,118
2026-02-10 00:54:00,20.5,55.8,0,63,115
2026-02-10 00:55:00,20.7,57.2,0,78,128
2026-02-10 00:56:00,20.2,60.0,0,77,98
2026-02-10 00:57:00,20.0,58.2,0,75,92
2026-02-10 00:58:00,20.0,58.8,0,82,92
2026-02-10 00:59:00,20.4,58.4,0,82,99
