Date,Sleep Score,Total Sleep,Sleep Awake Time,Deep Sleep,REM Sleep,Light Sleep
2026-02-09,70,397,58,105,231,60
2026-02-10,94,492,18,124,158,192
2026-02-11,82,600,40,182,212,166
2026-02-12,92,557,43,165,188,161
2026-02-13,78,379,78,82,190,60
2026-02-14,66,452,78,129,220,60
2026-02-15,87,477,23,116,188,150
2026-02-16,78,374,48,106,141,79
2026-02-17,86,487,28,182,114,163
2026-02-18,94,534,34,177,142,181
2026-02-19,96,464,30,110,157,167
2026-02-20,72,459,60,163,233,60
2026-02-21,73,398,79,179,231,60
2026-02-22,87,568,22,183,230,133
